"ensembl_gene_id","phylostratum","Description"
"ENSMUSG00000032383",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000090544",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000020424",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022265",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000012609",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000047085",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000000934",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038704",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030276",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027832",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000035725",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000090825",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063900",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000048516",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000050190",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079058",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000059602",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000070047",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000042978",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000039787",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000066180",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022263",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000053436",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000002728",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000051169",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000020844",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030741",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000061393",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000005958",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000031645",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024803",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000031640",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025877",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000010592",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038670",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000001767",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038845",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027774",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022574",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000037129",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000042787",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000026005",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000020892",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025375",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079057",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000023452",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038644",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000043587",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027775",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000052539",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000067279",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024811",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000045083",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030619",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000031639",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000060673",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027778",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000028287",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030284",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000028405",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000090816",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000090308",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000020048",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000026003",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032913",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000009075",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000061816",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000040565",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032380",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032807",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032902",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022571",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022570",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025314",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030730",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000026000",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034349",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025403",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000062785",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000020891",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000002233",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063704",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000093574",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022853",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032087",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000033618",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000002227",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000059114",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025991",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022856",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000044626",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000075594",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022568",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022237",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000073838",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000035491",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000040249",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000060477",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000056999",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027784",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025059",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000062209",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032511",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021032",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034285",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000068969",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000033581",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034126",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000045576",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000015476",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022235",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000002205",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000056952",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000020890",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000050914",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027788",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022234",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000031637",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027790",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000053153",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000062432",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024987",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030298",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000040296",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022858",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021033",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000033739",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030302",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000072919",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000040896",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000048304",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000026196",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000074141",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027792",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000039065",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000007564",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027905",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000062933",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000035395",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000002524",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000050296",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000020396",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038664",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021037",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000050860",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000005320",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034139",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000068798",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021036",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030307",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000071102",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000026192",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000018796",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034533",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027834",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030310",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021488",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000033501",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000006678",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000024992",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000074743",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000011034",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000044937",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000004460",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000039007",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034789",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030314",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079036",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000002963",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030711",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000054027",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000000561",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034098",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000044026",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000026193",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000047721",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000093477",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034115",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000052572",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000028411",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000052613",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021040",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030707",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000004864",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000035246",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034664",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000091361",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034209",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000009394",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000074340",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000070443",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000091550",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000090898",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000072211",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000090525",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000009079",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000035232",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000071217",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000035459",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079034",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022324",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000000805",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000092019",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000037379",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063065",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079031",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025001",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079029",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000091835",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000037373",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000043873",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000042389",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000079030",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000092138",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022884",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000038173",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030703",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000062778",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000072905",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027804",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000028410",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000070289",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000058600",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021044",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000066975",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027809",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022323",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000000441",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025002",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000040812",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021490",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000060125",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000035150",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032512",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000029343",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000026189",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000067231",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030697",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000040809",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000030695",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000034009",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000021492",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000067229",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000003053",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000063779",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000013418",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000043929",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000028613",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000033981",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000007682",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000022881",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032808",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000027902",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000032456",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000047735",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000025003",1,"Life before LCA of Cellular organisms  -  cellular organisms"
"ENSMUSG00000044156",1,"Life before LCA of Cellular organisms  -  cellular organisms"
